dataset,method,RecurrentGCN,mrate,mtype,lags,nof_filters,inter_method,epoch,mse,calculation_time
pedalme,STGCN,DCRNN,0.3,rand,4,12,linear,50,1.2521148920059204,6.508517503738403
pedalme,STGCN,DCRNN,0.3,rand,4,12,cubic,50,1.2433401346206665,6.650269269943237
pedalme,STGCN,DCRNN,0.3,rand,4,12,nearest,50,1.2070287466049194,6.384790897369385
pedalme,STGCN,DCRNN,0.4,rand,4,12,linear,50,1.3419952392578125,6.153614521026611
pedalme,STGCN,DCRNN,0.4,rand,4,12,cubic,50,1.200867772102356,5.573133230209351
pedalme,STGCN,DCRNN,0.4,rand,4,12,nearest,50,1.2292850017547607,5.976414442062378
pedalme,STGCN,DCRNN,0.5,rand,4,12,linear,50,1.3333089351654053,6.424409151077271
pedalme,STGCN,DCRNN,0.5,rand,4,12,cubic,50,1.169625163078308,5.850488901138306
pedalme,STGCN,DCRNN,0.5,rand,4,12,nearest,50,1.2941688299179075,5.798869848251343
pedalme,STGCN,DCRNN,0.6,rand,4,12,linear,50,1.3775720596313477,5.965718030929565
pedalme,STGCN,DCRNN,0.6,rand,4,12,cubic,50,1.2284388542175293,6.525102376937866
pedalme,STGCN,DCRNN,0.6,rand,4,12,nearest,50,1.2590168714523315,6.0791614055633545
pedalme,IT-STGCN,DCRNN,0.0,,4,12,,50,1.2122095823287964,8.17578911781311
pedalme,IT-STGCN,DCRNN,0.0,,4,12,,50,1.1778098344802856,7.950785875320435
pedalme,IT-STGCN,DCRNN,0.0,,4,12,,50,1.2494674921035769,7.89980673789978
pedalme,IT-STGCN,DCRNN,0.3,rand,4,12,linear,50,1.1879115104675293,7.85788893699646
pedalme,IT-STGCN,DCRNN,0.3,rand,4,12,cubic,50,1.24847674369812,7.791935443878174
pedalme,IT-STGCN,DCRNN,0.3,rand,4,12,nearest,50,1.198789119720459,8.278339624404907
pedalme,IT-STGCN,DCRNN,0.4,rand,4,12,linear,50,1.2277289628982544,8.188244104385376
pedalme,IT-STGCN,DCRNN,0.4,rand,4,12,cubic,50,1.1865869760513306,7.422037363052368
pedalme,IT-STGCN,DCRNN,0.4,rand,4,12,nearest,50,1.2548974752426147,6.555357694625855
pedalme,IT-STGCN,DCRNN,0.5,rand,4,12,linear,50,1.212180495262146,7.219523906707764
pedalme,IT-STGCN,DCRNN,0.5,rand,4,12,cubic,50,1.2030112743377686,7.343164682388306
pedalme,IT-STGCN,DCRNN,0.5,rand,4,12,nearest,50,1.3300451040267944,8.627575635910034
pedalme,IT-STGCN,DCRNN,0.6,rand,4,12,linear,50,1.262983798980713,8.657137632369995
pedalme,IT-STGCN,DCRNN,0.6,rand,4,12,cubic,50,1.230530858039856,8.73944640159607
pedalme,IT-STGCN,DCRNN,0.6,rand,4,12,nearest,50,1.221954584121704,7.772397756576538
pedalme,STGCN,DCRNN,0.0,,4,12,,50,1.2257742881774902,6.188745260238648
pedalme,STGCN,DCRNN,0.0,,4,12,,50,1.1989638805389404,5.277001857757568
pedalme,STGCN,DCRNN,0.0,,4,12,,50,1.187125325202942,5.76791787147522
pedalme,STGCN,DCRNN,0.3,rand,4,12,linear,50,1.2710026502609253,6.697524547576904
pedalme,STGCN,DCRNN,0.3,rand,4,12,cubic,50,1.2412989139556885,6.775846481323242
pedalme,STGCN,DCRNN,0.3,rand,4,12,nearest,50,1.2722941637039185,6.106400966644287
pedalme,STGCN,DCRNN,0.4,rand,4,12,linear,50,1.2478306293487549,5.970742702484131
pedalme,STGCN,DCRNN,0.4,rand,4,12,cubic,50,1.2789326906204224,6.235476970672607
pedalme,STGCN,DCRNN,0.4,rand,4,12,nearest,50,1.253946304321289,5.755796432495117
pedalme,STGCN,DCRNN,0.5,rand,4,12,linear,50,1.2886422872543335,4.778742551803589
pedalme,STGCN,DCRNN,0.5,rand,4,12,cubic,50,1.1816352605819702,7.187052965164185
pedalme,STGCN,DCRNN,0.5,rand,4,12,nearest,50,1.2456899881362915,6.529439449310303
pedalme,STGCN,DCRNN,0.6,rand,4,12,linear,50,1.2484132051467896,6.428515672683716
pedalme,STGCN,DCRNN,0.6,rand,4,12,cubic,50,1.3223769664764404,6.3490753173828125
pedalme,STGCN,DCRNN,0.6,rand,4,12,nearest,50,1.2000349760055542,6.636606693267822
pedalme,IT-STGCN,DCRNN,0.0,,4,12,,50,1.2058560848236084,8.805662155151367
pedalme,IT-STGCN,DCRNN,0.0,,4,12,,50,1.1966537237167358,8.104594230651855
pedalme,IT-STGCN,DCRNN,0.0,,4,12,,50,1.2009992599487305,7.732272863388061
pedalme,IT-STGCN,DCRNN,0.3,rand,4,12,linear,50,1.2052394151687622,7.176228046417236
pedalme,IT-STGCN,DCRNN,0.3,rand,4,12,cubic,50,1.2096198797225952,7.953791379928589
pedalme,IT-STGCN,DCRNN,0.3,rand,4,12,nearest,50,1.2021862268447876,7.9858314990997314
pedalme,IT-STGCN,DCRNN,0.4,rand,4,12,linear,50,1.2099686861038208,7.935212850570679
pedalme,IT-STGCN,DCRNN,0.4,rand,4,12,cubic,50,1.2211198806762695,7.092649221420288
pedalme,IT-STGCN,DCRNN,0.4,rand,4,12,nearest,50,1.2463277578353882,7.194067716598511
pedalme,IT-STGCN,DCRNN,0.5,rand,4,12,linear,50,1.22597074508667,8.15971565246582
pedalme,IT-STGCN,DCRNN,0.5,rand,4,12,cubic,50,1.250743746757507,6.990134716033936
pedalme,IT-STGCN,DCRNN,0.5,rand,4,12,nearest,50,1.308069109916687,6.688772439956665
pedalme,IT-STGCN,DCRNN,0.6,rand,4,12,linear,50,1.25227153301239,6.969725847244263
pedalme,IT-STGCN,DCRNN,0.6,rand,4,12,cubic,50,1.265706181526184,6.638613939285278
pedalme,IT-STGCN,DCRNN,0.6,rand,4,12,nearest,50,1.326690435409546,6.868052959442139
pedalme,STGCN,DCRNN,0.0,,4,12,,50,1.2107605934143066,4.864623069763184
pedalme,STGCN,DCRNN,0.0,,4,12,,50,1.1905678510665894,5.699764251708984
pedalme,STGCN,DCRNN,0.0,,4,12,,50,1.1882387399673462,6.586341142654419
pedalme,STGCN,DCRNN,0.3,rand,4,12,linear,50,1.248920202255249,7.67929744720459
pedalme,STGCN,DCRNN,0.3,rand,4,12,cubic,50,1.254713535308838,7.5470685958862305
pedalme,STGCN,DCRNN,0.3,rand,4,12,nearest,50,1.271593689918518,6.957188606262207
pedalme,STGCN,DCRNN,0.4,rand,4,12,linear,50,1.247378706932068,5.392543077468872
pedalme,STGCN,DCRNN,0.4,rand,4,12,cubic,50,1.2506437301635742,5.430421590805054
pedalme,STGCN,DCRNN,0.4,rand,4,12,nearest,50,1.2419666051864624,4.68063759803772
pedalme,STGCN,DCRNN,0.5,rand,4,12,linear,50,1.1736793518066406,6.025995016098023
pedalme,STGCN,DCRNN,0.5,rand,4,12,cubic,50,1.3487176895141602,5.267314910888672
pedalme,STGCN,DCRNN,0.5,rand,4,12,nearest,50,1.2111340761184692,5.852031707763672
pedalme,STGCN,DCRNN,0.6,rand,4,12,linear,50,1.2445088624954224,5.256852626800537
pedalme,STGCN,DCRNN,0.6,rand,4,12,cubic,50,1.219807267189026,5.2818992137908936
pedalme,STGCN,DCRNN,0.6,rand,4,12,nearest,50,1.3804744482040403,5.479664325714111
pedalme,IT-STGCN,DCRNN,0.0,,4,12,,50,1.2509106397628784,6.408793449401856
pedalme,IT-STGCN,DCRNN,0.0,,4,12,,50,1.2449146509170532,7.569622993469238
pedalme,IT-STGCN,DCRNN,0.0,,4,12,,50,1.2193416357040403,8.289772510528564
pedalme,IT-STGCN,DCRNN,0.3,rand,4,12,linear,50,1.215139389038086,8.296095609664917
pedalme,IT-STGCN,DCRNN,0.3,rand,4,12,cubic,50,1.273844599723816,8.215147495269775
pedalme,IT-STGCN,DCRNN,0.3,rand,4,12,nearest,50,1.234491944313049,7.370765686035156
pedalme,IT-STGCN,DCRNN,0.4,rand,4,12,linear,50,1.206461787223816,7.664666175842285
pedalme,IT-STGCN,DCRNN,0.4,rand,4,12,cubic,50,1.215960144996643,8.029498100280762
pedalme,IT-STGCN,DCRNN,0.4,rand,4,12,nearest,50,1.218194603919983,7.510601043701172
pedalme,IT-STGCN,DCRNN,0.5,rand,4,12,linear,50,1.2383904457092283,6.709575414657593
pedalme,IT-STGCN,DCRNN,0.5,rand,4,12,cubic,50,1.2534399032592771,6.120606660842896
pedalme,IT-STGCN,DCRNN,0.5,rand,4,12,nearest,50,1.26835036277771,5.655377626419067
pedalme,IT-STGCN,DCRNN,0.6,rand,4,12,linear,50,1.2624319791793823,6.52413535118103
pedalme,IT-STGCN,DCRNN,0.6,rand,4,12,cubic,50,1.237518548965454,6.931025743484497
pedalme,IT-STGCN,DCRNN,0.6,rand,4,12,nearest,50,1.270406723022461,7.29581093788147
pedalme,STGCN,DCRNN,0.0,,4,12,,50,1.2232706546783447,6.2096028327941895
pedalme,STGCN,DCRNN,0.0,,4,12,,50,1.2067056894302368,6.211971282958984
pedalme,STGCN,DCRNN,0.0,,4,12,,50,1.2164252996444702,6.096381425857544
pedalme,STGCN,DCRNN,0.3,rand,4,12,linear,50,1.1703214645385742,6.66452169418335
pedalme,STGCN,DCRNN,0.3,rand,4,12,cubic,50,1.284190058708191,5.750674724578857
pedalme,STGCN,DCRNN,0.3,rand,4,12,nearest,50,1.208820104598999,5.836111307144165
pedalme,STGCN,DCRNN,0.4,rand,4,12,linear,50,1.2678552865982056,4.57233738899231
pedalme,STGCN,DCRNN,0.4,rand,4,12,cubic,50,1.3212649822235107,4.721878528594971
pedalme,STGCN,DCRNN,0.4,rand,4,12,nearest,50,1.2364708185195925,5.998054265975952
pedalme,STGCN,DCRNN,0.5,rand,4,12,linear,50,1.289031744003296,5.833839416503906
pedalme,STGCN,DCRNN,0.5,rand,4,12,cubic,50,1.2703381776809692,5.913489818572998
pedalme,STGCN,DCRNN,0.5,rand,4,12,nearest,50,1.3101773262023926,5.250980615615845
pedalme,STGCN,DCRNN,0.6,rand,4,12,linear,50,1.264593243598938,5.038779258728027
pedalme,STGCN,DCRNN,0.6,rand,4,12,cubic,50,1.1501458883285522,5.25702714920044
pedalme,STGCN,DCRNN,0.6,rand,4,12,nearest,50,1.2513067722320557,5.6547324657440186
pedalme,IT-STGCN,DCRNN,0.0,,4,12,,50,1.217122197151184,7.295858144760132
pedalme,IT-STGCN,DCRNN,0.0,,4,12,,50,1.2034107446670532,6.562884569168091
pedalme,IT-STGCN,DCRNN,0.0,,4,12,,50,1.20866858959198,6.138342618942261
pedalme,IT-STGCN,DCRNN,0.3,rand,4,12,linear,50,1.1942282915115356,6.91198205947876
pedalme,IT-STGCN,DCRNN,0.3,rand,4,12,cubic,50,1.2233959436416626,6.231905937194824
pedalme,IT-STGCN,DCRNN,0.3,rand,4,12,nearest,50,1.203441858291626,5.950476408004761
pedalme,IT-STGCN,DCRNN,0.4,rand,4,12,linear,50,1.2251216173171997,7.843100309371948
pedalme,IT-STGCN,DCRNN,0.4,rand,4,12,cubic,50,1.248290777206421,7.582739114761352
pedalme,IT-STGCN,DCRNN,0.4,rand,4,12,nearest,50,1.2566276788711548,7.742475748062134
pedalme,IT-STGCN,DCRNN,0.5,rand,4,12,linear,50,1.246792197227478,7.279711008071899
pedalme,IT-STGCN,DCRNN,0.5,rand,4,12,cubic,50,1.2156224250793457,7.214026212692261
pedalme,IT-STGCN,DCRNN,0.5,rand,4,12,nearest,50,1.2701232433319092,6.819761037826538
pedalme,IT-STGCN,DCRNN,0.6,rand,4,12,linear,50,1.2831366062164309,7.499144077301025
pedalme,IT-STGCN,DCRNN,0.6,rand,4,12,cubic,50,1.212096929550171,7.141689300537109
pedalme,IT-STGCN,DCRNN,0.6,rand,4,12,nearest,50,1.2187811136245728,7.181493043899536
pedalme,STGCN,DCRNN,0.0,,4,12,,50,1.1888047456741333,5.794492959976196
pedalme,STGCN,DCRNN,0.0,,4,12,,50,1.1923441886901855,5.471163034439087
pedalme,STGCN,DCRNN,0.0,,4,12,,50,1.1939351558685305,5.115415811538696
pedalme,STGCN,DCRNN,0.3,rand,4,12,linear,50,1.2406092882156372,5.892605543136597
pedalme,STGCN,DCRNN,0.3,rand,4,12,cubic,50,1.2906930446624756,5.894453763961792
pedalme,STGCN,DCRNN,0.3,rand,4,12,nearest,50,1.2344000339508057,6.296114206314087
pedalme,STGCN,DCRNN,0.4,rand,4,12,linear,50,1.1889195442199707,6.166980266571045
pedalme,STGCN,DCRNN,0.4,rand,4,12,cubic,50,1.1857950687408447,4.744519233703613
pedalme,STGCN,DCRNN,0.4,rand,4,12,nearest,50,1.2743126153945925,5.650078058242798
pedalme,STGCN,DCRNN,0.5,rand,4,12,linear,50,1.2887752056121826,5.781498432159424
pedalme,STGCN,DCRNN,0.5,rand,4,12,cubic,50,1.312751531600952,5.69905948638916
pedalme,STGCN,DCRNN,0.5,rand,4,12,nearest,50,1.2416532039642334,5.869036674499512
pedalme,STGCN,DCRNN,0.6,rand,4,12,linear,50,1.2993645668029783,5.538790464401245
pedalme,STGCN,DCRNN,0.6,rand,4,12,cubic,50,1.2146499156951904,5.768213987350464
pedalme,STGCN,DCRNN,0.6,rand,4,12,nearest,50,1.320647358894348,6.06868839263916
pedalme,IT-STGCN,DCRNN,0.0,,4,12,,50,1.1990400552749634,6.718366146087647
pedalme,IT-STGCN,DCRNN,0.0,,4,12,,50,1.1904919147491455,7.152764081954956
pedalme,IT-STGCN,DCRNN,0.0,,4,12,,50,1.2076666355133057,7.530127763748169
pedalme,IT-STGCN,DCRNN,0.3,rand,4,12,linear,50,1.2249197959899902,6.75900149345398
pedalme,IT-STGCN,DCRNN,0.3,rand,4,12,cubic,50,1.1840250492095947,5.851096391677856
pedalme,IT-STGCN,DCRNN,0.3,rand,4,12,nearest,50,1.324801325798035,7.633020639419556
pedalme,IT-STGCN,DCRNN,0.4,rand,4,12,linear,50,1.2308111190795898,7.400495290756226
pedalme,IT-STGCN,DCRNN,0.4,rand,4,12,cubic,50,1.2081055641174316,7.495370149612427
pedalme,IT-STGCN,DCRNN,0.4,rand,4,12,nearest,50,1.1696293354034424,7.417082548141479
pedalme,IT-STGCN,DCRNN,0.5,rand,4,12,linear,50,1.1852339506149292,8.171734809875488
pedalme,IT-STGCN,DCRNN,0.5,rand,4,12,cubic,50,1.2714958190917969,7.080034255981445
pedalme,IT-STGCN,DCRNN,0.5,rand,4,12,nearest,50,1.251772165298462,7.3797008991241455
pedalme,IT-STGCN,DCRNN,0.6,rand,4,12,linear,50,1.27825927734375,7.301989555358887
pedalme,IT-STGCN,DCRNN,0.6,rand,4,12,cubic,50,1.3308696746826172,8.81020474433899
pedalme,IT-STGCN,DCRNN,0.6,rand,4,12,nearest,50,1.2776836156845093,6.86278247833252
pedalme,STGCN,DCRNN,0.0,,4,12,,50,1.1988391876220703,6.753378629684448
