dataset,RecurrentGCN,method,mrate,mtype,lags,nof_filters,inter_method,epoch,mse,calculation_time
fivenodes,DCRNN,STGCN,0.3,rand,2,16,linear,150,1.265014886856079,69.2322428226471
fivenodes,DCRNN,STGCN,0.3,rand,2,16,cubic,150,1.2196520566940308,69.3883650302887
fivenodes,DCRNN,STGCN,0.8,rand,2,16,linear,150,1.331113576889038,69.2019636631012
fivenodes,DCRNN,STGCN,0.8,rand,2,16,cubic,150,1.2961459159851074,68.98394799232483
fivenodes,DCRNN,IT-STGCN,0.0,,2,16,,150,1.249652624130249,75.48786211013794
fivenodes,DCRNN,IT-STGCN,0.0,,2,16,,150,1.2416877746582031,75.3910231590271
fivenodes,DCRNN,IT-STGCN,0.3,rand,2,16,linear,150,1.2350307703018188,75.27224111557007
fivenodes,DCRNN,IT-STGCN,0.3,rand,2,16,cubic,150,1.2559075355529783,75.21272492408752
fivenodes,DCRNN,IT-STGCN,0.8,rand,2,16,linear,150,1.2373969554901123,75.58833742141724
fivenodes,DCRNN,IT-STGCN,0.8,rand,2,16,cubic,150,1.2835323810577393,78.43226623535156
fivenodes,DCRNN,STGCN,0.0,,2,16,,150,1.2522910833358765,69.73766016960144
fivenodes,DCRNN,STGCN,0.0,,2,16,,150,1.2526782751083374,69.60673189163208
fivenodes,DCRNN,STGCN,0.3,rand,2,16,linear,150,1.2289586067199707,69.22071027755737
fivenodes,DCRNN,STGCN,0.3,rand,2,16,cubic,150,1.20752215385437,69.4886736869812
fivenodes,DCRNN,STGCN,0.8,rand,2,16,linear,150,1.3001794815063477,69.5771689414978
fivenodes,DCRNN,STGCN,0.8,rand,2,16,cubic,150,1.2353004217147827,69.43145155906677
fivenodes,DCRNN,IT-STGCN,0.0,,2,16,,150,1.2403779029846191,75.72690606117249
fivenodes,DCRNN,IT-STGCN,0.0,,2,16,,150,1.2395058870315552,75.5972192287445
fivenodes,DCRNN,IT-STGCN,0.3,rand,2,16,linear,150,1.2748435735702517,75.69097518920898
fivenodes,DCRNN,IT-STGCN,0.3,rand,2,16,cubic,150,1.2644076347351074,75.40374279022217
fivenodes,DCRNN,IT-STGCN,0.8,rand,2,16,linear,150,1.515142798423767,75.54029321670532
fivenodes,DCRNN,IT-STGCN,0.8,rand,2,16,cubic,150,1.233608961105347,75.22197198867798
fivenodes,DCRNN,STGCN,0.0,,2,16,,150,1.2426645755767822,69.12740683555603
