,Unnamed: 0,dataset,method,mrate,mtype,lags,nof_filters,inter_method,epoch,mse,calculation_time
61,61,five_nodes,IT-STGCN,0.0,,4,4,,100,1.1730504035949707,75.05366969108582
62,62,five_nodes,IT-STGCN,0.0,,4,8,,100,1.226422905921936,78.3831877708435
63,63,five_nodes,IT-STGCN,0.0,,4,8,,100,1.1798187494277954,77.73536920547485
64,64,five_nodes,IT-STGCN,0.0,,4,12,,100,1.1435062885284424,78.51187229156494
65,65,five_nodes,IT-STGCN,0.0,,4,12,,100,1.1158102750778198,78.64370274543762
66,66,five_nodes,IT-STGCN,0.0,,6,4,,100,1.194019079208374,74.98084878921509
67,67,five_nodes,IT-STGCN,0.0,,6,4,,100,1.165263295173645,75.02856755256653
68,68,five_nodes,IT-STGCN,0.0,,6,8,,100,1.180109620094299,77.14964318275452
69,69,five_nodes,IT-STGCN,0.0,,6,8,,100,1.272204041481018,77.11341953277588
70,70,five_nodes,IT-STGCN,0.0,,6,12,,100,1.3041847944259644,78.3248028755188
71,71,five_nodes,IT-STGCN,0.0,,6,12,,100,1.2435660362243652,77.88160014152527
72,72,five_nodes,STGCN,0.0,,2,4,,100,1.1425161361694336,72.3711507320404
73,73,five_nodes,STGCN,0.0,,2,4,,100,1.1578632593154907,72.48617053031921
74,74,five_nodes,STGCN,0.0,,2,8,,100,1.1481109857559204,74.81443977355957
75,75,five_nodes,STGCN,0.0,,2,8,,100,1.109268307685852,79.19214177131653
76,76,five_nodes,STGCN,0.0,,2,12,,100,1.1594734191894531,75.99401998519897
77,77,five_nodes,STGCN,0.0,,2,12,,100,1.127975583076477,75.17615723609924
78,78,five_nodes,STGCN,0.0,,4,4,,100,1.180465579032898,71.38217830657959
79,79,five_nodes,STGCN,0.0,,4,4,,100,1.1889002323150637,71.61868166923523
80,80,five_nodes,STGCN,0.0,,4,8,,100,1.204205870628357,73.88779544830322
81,81,five_nodes,STGCN,0.0,,4,8,,100,1.0833436250686646,73.68425273895264
82,82,five_nodes,STGCN,0.0,,4,12,,100,1.3442165851593018,74.62873792648315
83,83,five_nodes,STGCN,0.0,,4,12,,100,1.0944730043411257,74.4959785938263
84,84,five_nodes,STGCN,0.0,,6,4,,100,1.1109510660171509,71.4374327659607
85,85,five_nodes,STGCN,0.0,,6,4,,100,1.2376463413238523,71.39639472961426
86,86,five_nodes,STGCN,0.0,,6,8,,100,1.2558162212371826,72.94590902328491
87,87,five_nodes,STGCN,0.0,,6,8,,100,1.1630473136901855,72.85306525230408
88,88,five_nodes,STGCN,0.0,,6,12,,100,1.2364455461502075,73.96617364883423
89,89,five_nodes,STGCN,0.0,,6,12,,100,1.197625756263733,73.86099314689636
90,90,five_nodes,IT-STGCN,0.0,,2,4,,100,1.1501030921936035,76.06261849403381
91,91,five_nodes,IT-STGCN,0.0,,2,4,,100,1.1811069250106812,76.1652479171753
92,92,five_nodes,IT-STGCN,0.0,,2,8,,100,1.1580564975738523,77.87163591384888
93,93,five_nodes,IT-STGCN,0.0,,2,8,,100,1.1020302772521973,78.18701529502869
94,94,five_nodes,IT-STGCN,0.0,,2,12,,100,1.1850857734680176,79.03237843513489
95,95,five_nodes,IT-STGCN,0.0,,2,12,,100,1.1472820043563845,79.30679249763489
96,96,five_nodes,IT-STGCN,0.0,,4,4,,100,1.1763849258422852,75.85572147369385
97,97,five_nodes,IT-STGCN,0.0,,4,4,,100,1.2468554973602295,75.51845622062683
98,98,five_nodes,IT-STGCN,0.0,,4,8,,100,1.2102795839309692,77.291264295578
99,99,five_nodes,IT-STGCN,0.0,,4,8,,100,1.1621209383010864,77.0760498046875
100,100,five_nodes,IT-STGCN,0.0,,4,12,,100,1.2487907409667969,70.43779826164246
101,101,five_nodes,IT-STGCN,0.0,,4,12,,100,1.2114886045455933,61.64784932136536
102,102,five_nodes,IT-STGCN,0.0,,6,4,,100,1.1787995100021362,57.32745671272278
103,103,five_nodes,IT-STGCN,0.0,,6,4,,100,1.2187963724136353,57.19503307342529
104,104,five_nodes,IT-STGCN,0.0,,6,8,,100,1.248200535774231,58.423216581344604
105,105,five_nodes,IT-STGCN,0.0,,6,8,,100,1.2650703191757202,58.766563415527344
106,106,five_nodes,IT-STGCN,0.0,,6,12,,100,1.2353668212890625,59.91320657730103
107,107,five_nodes,IT-STGCN,0.0,,6,12,,100,1.3578976392745972,60.382161140441895
108,108,five_nodes,STGCN,0.0,,2,4,,100,1.1259671449661257,55.63495850563049
109,109,five_nodes,STGCN,0.0,,2,4,,100,1.1480858325958252,56.116397857666016
110,110,five_nodes,STGCN,0.0,,2,8,,100,1.147111177444458,57.38722634315491
111,111,five_nodes,STGCN,0.0,,2,8,,100,1.1669710874557495,57.76690912246704
112,112,five_nodes,STGCN,0.0,,2,12,,100,1.1779152154922483,58.94983434677124
113,113,five_nodes,STGCN,0.0,,2,12,,100,1.1584856510162354,58.79860925674439
114,114,five_nodes,STGCN,0.0,,4,4,,100,1.1424353122711182,55.68871736526489
115,115,five_nodes,STGCN,0.0,,4,4,,100,1.187942385673523,55.44937348365784
116,116,five_nodes,STGCN,0.0,,4,8,,100,1.214122653007507,56.58661437034607
117,117,five_nodes,STGCN,0.0,,4,8,,100,1.106061935424805,56.91237115859985
118,118,five_nodes,STGCN,0.0,,4,12,,100,1.19299578666687,57.72282004356384
119,119,five_nodes,STGCN,0.0,,4,12,,100,1.1402593851089478,57.17654871940613
120,120,five_nodes,STGCN,0.0,,6,4,,100,1.201315999031067,54.521838426589966
121,121,five_nodes,STGCN,0.0,,6,4,,100,1.1560155153274536,54.80876708030701
122,122,five_nodes,STGCN,0.0,,6,8,,100,1.139079213142395,55.6625566482544
123,123,five_nodes,STGCN,0.0,,6,8,,100,1.1822351217269895,55.28925442695618
124,124,five_nodes,STGCN,0.0,,6,12,,100,1.2116494178771973,57.76227259635925
125,125,five_nodes,STGCN,0.0,,6,12,,100,1.214859127998352,57.88278436660767
126,126,five_nodes,IT-STGCN,0.0,,2,4,,100,1.120111346244812,58.8052282333374
127,127,five_nodes,IT-STGCN,0.0,,2,4,,100,1.1299110651016235,58.23059558868408
128,128,five_nodes,IT-STGCN,0.0,,2,8,,100,1.0979962348937988,59.42986822128296
129,129,five_nodes,IT-STGCN,0.0,,2,8,,100,1.1912351846694946,59.61564803123474
130,130,five_nodes,IT-STGCN,0.0,,2,12,,100,1.1426485776901243,61.58964657783508
131,131,five_nodes,IT-STGCN,0.0,,2,12,,100,1.199046969413757,61.23675870895386
132,132,five_nodes,IT-STGCN,0.0,,4,4,,100,1.190360188484192,57.76198124885559
133,133,five_nodes,IT-STGCN,0.0,,4,4,,100,1.1249194145202637,56.99415612220764
134,134,five_nodes,IT-STGCN,0.0,,4,8,,100,1.1717623472213743,58.31261658668518
135,135,five_nodes,IT-STGCN,0.0,,4,8,,100,1.255125641822815,58.51989483833313
136,136,five_nodes,IT-STGCN,0.0,,4,12,,100,1.243945598602295,59.66000890731812
137,137,five_nodes,IT-STGCN,0.0,,4,12,,100,1.1469253301620483,59.51516270637512
138,138,five_nodes,IT-STGCN,0.0,,6,4,,100,1.1367833614349363,56.59303045272827
139,139,five_nodes,IT-STGCN,0.0,,6,4,,100,1.145903706550598,56.63016200065613
140,140,five_nodes,IT-STGCN,0.0,,6,8,,100,1.13058602809906,58.4959282875061
141,141,five_nodes,IT-STGCN,0.0,,6,8,,100,1.1937718391418457,58.490328550338745
142,142,five_nodes,IT-STGCN,0.0,,6,12,,100,1.2441692352294922,59.58693528175354
143,143,five_nodes,IT-STGCN,0.0,,6,12,,100,1.1664844751358032,59.40129327774048
144,144,five_nodes,STGCN,0.0,,2,4,,100,1.1729809045791626,55.67058372497559
145,145,five_nodes,STGCN,0.0,,2,4,,100,1.1489708423614502,55.68048930168152
146,146,five_nodes,STGCN,0.0,,2,8,,100,1.1897300481796265,57.02147316932678
147,147,five_nodes,STGCN,0.0,,2,8,,100,1.1250039339065552,57.07812666893005
148,148,five_nodes,STGCN,0.0,,2,12,,100,1.1479052305221558,59.07433223724365
149,149,five_nodes,STGCN,0.0,,2,12,,100,1.161521077156067,58.73682761192322
150,150,five_nodes,STGCN,0.0,,4,4,,100,1.1547735929489136,55.2791600227356
151,151,five_nodes,STGCN,0.0,,4,4,,100,1.1368086338043213,55.58777475357056
152,152,five_nodes,STGCN,0.0,,4,8,,100,1.2007213830947876,57.07877564430237
153,153,five_nodes,STGCN,0.0,,4,8,,100,1.189062237739563,56.410282373428345
154,154,five_nodes,STGCN,0.0,,4,12,,100,1.1365981101989746,57.140421628952026
155,155,five_nodes,STGCN,0.0,,4,12,,100,1.2393954992294312,57.77800369262695
156,156,five_nodes,STGCN,0.0,,6,4,,100,1.1642109155654907,55.22764253616333
157,157,five_nodes,STGCN,0.0,,6,4,,100,1.1705055236816406,55.36895656585693
158,158,five_nodes,STGCN,0.0,,6,8,,100,1.1620404720306396,56.5543224811554
159,159,five_nodes,STGCN,0.0,,6,8,,100,1.203107237815857,57.20806646347046
160,160,five_nodes,STGCN,0.0,,6,12,,100,1.1714670658111572,58.181923627853394
161,161,five_nodes,STGCN,0.0,,6,12,,100,1.2030740976333618,58.03979587554932
162,162,five_nodes,IT-STGCN,0.0,,2,4,,100,1.1321831941604614,58.31143832206726
163,163,five_nodes,IT-STGCN,0.0,,2,4,,100,1.1843454837799072,58.806445598602295
164,164,five_nodes,IT-STGCN,0.0,,2,8,,100,1.2040446996688845,60.32974815368652
165,165,five_nodes,IT-STGCN,0.0,,2,8,,100,1.190804958343506,60.36192917823792
166,166,five_nodes,IT-STGCN,0.0,,2,12,,100,1.129475712776184,61.28798890113831
167,167,five_nodes,IT-STGCN,0.0,,2,12,,100,1.158085584640503,61.83057928085327
168,168,five_nodes,IT-STGCN,0.0,,4,4,,100,1.135706663131714,57.946144342422485
169,169,five_nodes,IT-STGCN,0.0,,4,4,,100,1.120078444480896,57.269155502319336
170,170,five_nodes,IT-STGCN,0.0,,4,8,,100,1.14392352104187,58.54627370834351
171,171,five_nodes,IT-STGCN,0.0,,4,8,,100,1.1673511266708374,59.19360113143921
172,172,five_nodes,IT-STGCN,0.0,,4,12,,100,1.141923189163208,59.84593629837036
173,173,five_nodes,IT-STGCN,0.0,,4,12,,100,1.1532176733016968,60.04564595222473
174,174,five_nodes,IT-STGCN,0.0,,6,4,,100,1.144794225692749,56.93306827545166
175,175,five_nodes,IT-STGCN,0.0,,6,4,,100,1.163654088973999,56.886274099349976
176,176,five_nodes,IT-STGCN,0.0,,6,8,,100,1.1618999242782593,58.769169092178345
177,177,five_nodes,IT-STGCN,0.0,,6,8,,100,1.1788021326065063,58.06678605079651
178,178,five_nodes,IT-STGCN,0.0,,6,12,,100,1.2310370206832886,59.56149983406067
179,179,five_nodes,IT-STGCN,0.0,,6,12,,100,1.2710299491882324,59.99804782867432
180,180,five_nodes,STGCN,0.0,,2,4,,100,1.1374192237854004,56.284239768981934
181,181,five_nodes,STGCN,0.0,,2,4,,100,1.1441237926483154,55.90080404281616
182,182,five_nodes,STGCN,0.0,,2,8,,100,1.1417995691299438,57.20676255226135
183,183,five_nodes,STGCN,0.0,,2,8,,100,1.1986769437789917,57.29814434051514
184,184,five_nodes,STGCN,0.0,,2,12,,100,1.1438976526260376,59.00971078872681
185,185,five_nodes,STGCN,0.0,,2,12,,100,1.0980453491210938,58.81731176376343
186,186,five_nodes,STGCN,0.0,,4,4,,100,1.1255183219909668,55.06355142593384
187,187,five_nodes,STGCN,0.0,,4,4,,100,1.146921157836914,55.12691044807434
188,188,five_nodes,STGCN,0.0,,4,8,,100,1.1445708274841309,56.138718605041504
189,189,five_nodes,STGCN,0.0,,4,8,,100,1.1912726163864136,56.23644208908081
190,190,five_nodes,STGCN,0.0,,4,12,,100,1.2109830379486084,57.52706599235535
191,191,five_nodes,STGCN,0.0,,4,12,,100,1.1261409521102903,57.48006057739258
192,192,five_nodes,STGCN,0.0,,6,4,,100,1.112644076347351,55.12501192092896
193,193,five_nodes,STGCN,0.0,,6,4,,100,1.1593210697174072,54.58143353462219
194,194,five_nodes,STGCN,0.0,,6,8,,100,1.2226845026016235,56.08379030227661
195,195,five_nodes,STGCN,0.0,,6,8,,100,1.1939502954483032,56.02379512786865
196,196,five_nodes,STGCN,0.0,,6,12,,100,1.1596604585647583,57.46641111373901
197,197,five_nodes,STGCN,0.0,,6,12,,100,1.1723214387893677,58.031131744384766
198,198,five_nodes,IT-STGCN,0.0,,2,4,,100,1.149255633354187,57.99865365028381
199,199,five_nodes,IT-STGCN,0.0,,2,4,,100,1.1419475078582764,58.39919662475586
200,200,five_nodes,IT-STGCN,0.0,,2,8,,100,1.1173157691955566,59.52615523338318
201,201,five_nodes,IT-STGCN,0.0,,2,8,,100,1.0958843231201172,59.413052558898926
202,202,five_nodes,IT-STGCN,0.0,,2,12,,100,1.2059494256973269,60.61449360847473
203,203,five_nodes,IT-STGCN,0.0,,2,12,,100,1.1663776636123655,60.89043974876404
204,204,five_nodes,IT-STGCN,0.0,,4,4,,100,1.1280200481414795,57.72594738006592
205,205,five_nodes,IT-STGCN,0.0,,4,4,,100,1.1353174448013306,57.57608914375305
206,206,five_nodes,IT-STGCN,0.0,,4,8,,100,1.1725112199783323,62.47164869308472
207,207,five_nodes,IT-STGCN,0.0,,4,8,,100,1.147201418876648,77.23395729064941
208,208,five_nodes,IT-STGCN,0.0,,4,12,,100,1.2908601760864258,78.06592512130737
209,209,five_nodes,IT-STGCN,0.0,,4,12,,100,1.176234245300293,78.64067101478577
210,210,five_nodes,IT-STGCN,0.0,,6,4,,100,1.1500457525253296,77.66761350631714
211,211,five_nodes,IT-STGCN,0.0,,6,4,,100,1.1687670946121216,77.83102989196777
212,212,five_nodes,IT-STGCN,0.0,,6,8,,100,1.257884502410889,79.97602128982544
213,213,five_nodes,IT-STGCN,0.0,,6,8,,100,1.1290096044540403,81.79021334648132
214,214,five_nodes,IT-STGCN,0.0,,6,12,,100,1.3667423725128174,83.67134165763855
215,215,five_nodes,IT-STGCN,0.0,,6,12,,100,1.2763336896896362,85.97971677780151
216,216,five_nodes,STGCN,0.0,,2,4,,100,1.1161537170410156,76.15514135360718
217,217,five_nodes,STGCN,0.0,,2,4,,100,1.1637202501296997,73.48577666282654
218,218,five_nodes,STGCN,0.0,,2,8,,100,1.113595485687256,75.12485647201538
219,219,five_nodes,STGCN,0.0,,2,8,,100,1.1319347620010376,74.65887260437012
220,220,five_nodes,STGCN,0.0,,2,12,,100,1.1842819452285769,75.73740887641907
221,221,five_nodes,STGCN,0.0,,2,12,,100,1.2069740295410156,75.15123867988586
222,222,five_nodes,STGCN,0.0,,4,4,,100,1.168578863143921,71.98272037506104
223,223,five_nodes,STGCN,0.0,,4,4,,100,1.1768769025802612,71.77702045440674
224,224,five_nodes,STGCN,0.0,,4,8,,100,1.2047743797302246,73.57895636558533
225,225,five_nodes,STGCN,0.0,,4,8,,100,1.2095694541931152,74.38571333885193
226,226,five_nodes,STGCN,0.0,,4,12,,100,1.1709719896316528,74.79141283035278
227,227,five_nodes,STGCN,0.0,,4,12,,100,1.149060845375061,74.78424906730652
228,228,five_nodes,STGCN,0.0,,6,4,,100,1.1726919412612915,71.64607977867126
229,229,five_nodes,STGCN,0.0,,6,4,,100,1.1534607410430908,71.7113425731659
230,230,five_nodes,STGCN,0.0,,6,8,,100,1.1948566436767578,72.89645791053772
