dataset,method,RecurrentGCN,mrate,mtype,lags,nof_filters,inter_method,epoch,lr,mse,calculation_time
pedalme,STGCN,GConvGRU,0.6,rand,2,12,linear,50,0.01,1.5369243621826172,10.088094711303711
pedalme,STGCN,DCRNN,0.6,rand,2,12,linear,50,0.01,1.4715768098831177,5.064009666442871
pedalme,STGCN,GConvLSTM,0.6,rand,2,12,linear,50,0.01,1.5391453504562378,6.524444341659546
pedalme,STGCN,MPNNLSTM,0.6,rand,2,12,linear,50,0.01,1.2256536483764648,20.153611421585083
pedalme,STGCN,TGCN,0.6,rand,2,12,linear,50,0.01,1.2513993978500366,4.332885980606079
pedalme,STGCN,EvolveGCNO,0.6,rand,2,12,linear,50,0.01,1.46927809715271,2.0793092250823975
pedalme,STGCN,GCLSTM,0.6,rand,2,12,linear,50,0.01,1.4424035549163818,3.7628204822540283
pedalme,STGCN,LRGCN,0.6,rand,2,12,linear,50,0.01,1.5333647727966309,5.9840381145477295
pedalme,STGCN,EvolveGCNH,0.6,rand,2,12,linear,50,0.01,1.748978853225708,3.2662854194641113
pedalme,IT-STGCN,GConvGRU,0.6,rand,2,12,linear,50,0.01,1.7466166019439697,11.163355350494385
pedalme,IT-STGCN,DCRNN,0.6,rand,2,12,linear,50,0.01,1.5522923469543457,7.733518600463867
pedalme,IT-STGCN,GConvLSTM,0.6,rand,2,12,linear,50,0.01,1.3738664388656616,8.513617753982544
pedalme,IT-STGCN,MPNNLSTM,0.6,rand,2,12,linear,50,0.01,1.2541890144348145,13.592004776000977
pedalme,IT-STGCN,TGCN,0.6,rand,2,12,linear,50,0.01,1.2673271894454956,4.465692043304443
pedalme,IT-STGCN,EvolveGCNO,0.6,rand,2,12,linear,50,0.01,1.1934075355529785,2.2645468711853027
pedalme,IT-STGCN,GCLSTM,0.6,rand,2,12,linear,50,0.01,1.2541074752807617,6.142531871795654
pedalme,IT-STGCN,LRGCN,0.6,rand,2,12,linear,50,0.01,1.312203288078308,6.366559028625488
pedalme,IT-STGCN,EvolveGCNH,0.6,rand,2,12,linear,50,0.01,1.1525086164474487,3.7706046104431152
pedalme,STGCN,GConvGRU,0.6,rand,2,12,linear,50,0.01,1.7139182090759277,8.186968088150024
pedalme,STGCN,DCRNN,0.6,rand,2,12,linear,50,0.01,1.499948263168335,4.928915500640869
pedalme,STGCN,GConvLSTM,0.6,rand,2,12,linear,50,0.01,1.3999680280685425,5.933294057846069
pedalme,STGCN,MPNNLSTM,0.6,rand,2,12,linear,50,0.01,1.3034619092941284,17.31814455986023
pedalme,STGCN,TGCN,0.6,rand,2,12,linear,50,0.01,1.3932366371154785,3.971378803253174
