dataset,method,mrate,mtype,lags,nof_filters,batch_size,inter_method,epoch,mse,calculation_time
testchickenpox,STGCN,0.7,rand,8,16,128,linear,50,2.0481863021850586,300.2276043891907
testchickenpox,IT-STGCN,0.7,rand,8,16,128,linear,50,1.047083854675293,1117.0549049377441
