dataset,method,RecurrentGCN,mrate,mtype,lags,nof_filters,inter_method,epoch,mse
fivenodes,GNAR,GConvGRU,0.7,rand,2,,linear,,1.4068299531936646
fivenodes,GNAR,GConvGRU,0.75,rand,2,,linear,,1.4068299531936646
fivenodes,GNAR,GConvGRU,0.8,rand,2,,linear,,1.4068299531936646
fivenodes,GNAR,GConvGRU,0.85,rand,2,,linear,,1.4068299531936646
fivenodes,GNAR,GConvGRU,0.7,rand,2,,linear,,1.4068299531936646
fivenodes,GNAR,GConvGRU,0.75,rand,2,,linear,,1.4068299531936646
fivenodes,GNAR,GConvGRU,0.8,rand,2,,linear,,1.4068299531936646
fivenodes,GNAR,GConvGRU,0.85,rand,2,,linear,,1.4068299531936646
fivenodes,GNAR,GConvGRU,0.7,rand,2,,linear,,1.4068299531936646
fivenodes,GNAR,GConvGRU,0.75,rand,2,,linear,,1.4068299531936646
fivenodes,GNAR,GConvGRU,0.8,rand,2,,linear,,1.4068299531936646
fivenodes,GNAR,GConvGRU,0.85,rand,2,,linear,,1.4068299531936646
fivenodes,STGCN,GConvGRU,0.7,rand,2,12.0,linear,150.0,1.154594898223877
fivenodes,STGCN,GConvGRU,0.7,rand,2,16.0,linear,150.0,1.1975902318954468
fivenodes,STGCN,GConvGRU,0.75,rand,2,12.0,linear,150.0,1.1619744300842283
fivenodes,STGCN,GConvGRU,0.75,rand,2,16.0,linear,150.0,1.1757384538650513
fivenodes,IT-STGCN,GConvGRU,0.7,rand,2,12.0,linear,150.0,1.354763388633728
fivenodes,IT-STGCN,GConvGRU,0.7,rand,2,16.0,linear,150.0,1.3003511428833008
fivenodes,IT-STGCN,GConvGRU,0.75,rand,2,12.0,linear,150.0,1.183924674987793
fivenodes,IT-STGCN,GConvGRU,0.75,rand,2,16.0,linear,150.0,1.2311245203018188
fivenodes,STGCN,GConvGRU,0.7,rand,2,12.0,linear,150.0,1.1948531866073608
fivenodes,STGCN,GConvGRU,0.7,rand,2,16.0,linear,150.0,1.2353399991989136
fivenodes,STGCN,GConvGRU,0.75,rand,2,12.0,linear,150.0,1.435771942138672
fivenodes,STGCN,GConvGRU,0.75,rand,2,16.0,linear,150.0,1.2404550313949585
fivenodes,IT-STGCN,GConvGRU,0.7,rand,2,12.0,linear,150.0,1.287634015083313
fivenodes,IT-STGCN,GConvGRU,0.7,rand,2,16.0,linear,150.0,1.2883645296096802
fivenodes,IT-STGCN,GConvGRU,0.75,rand,2,12.0,linear,150.0,1.1394346952438354
fivenodes,IT-STGCN,GConvGRU,0.75,rand,2,16.0,linear,150.0,1.5181949138641355
fivenodes,STGCN,GConvGRU,0.7,rand,2,12.0,linear,150.0,1.3015841245651243
fivenodes,STGCN,GConvGRU,0.7,rand,2,16.0,linear,150.0,1.2330632209777832
fivenodes,STGCN,GConvGRU,0.75,rand,2,12.0,linear,150.0,1.3556939363479614
fivenodes,STGCN,GConvGRU,0.75,rand,2,16.0,linear,150.0,1.4377734661102295
fivenodes,IT-STGCN,GConvGRU,0.7,rand,2,12.0,linear,150.0,1.2926325798034668
fivenodes,IT-STGCN,GConvGRU,0.7,rand,2,16.0,linear,150.0,1.175957202911377
fivenodes,IT-STGCN,GConvGRU,0.75,rand,2,12.0,linear,150.0,1.273546814918518
fivenodes,IT-STGCN,GConvGRU,0.75,rand,2,16.0,linear,150.0,1.1470001935958862
fivenodes,STGCN,GConvGRU,0.7,rand,2,12.0,linear,150.0,1.1303348541259766
fivenodes,STGCN,GConvGRU,0.7,rand,2,16.0,linear,150.0,1.107883334159851
fivenodes,STGCN,GConvGRU,0.75,rand,2,12.0,linear,150.0,1.2024635076522827
fivenodes,STGCN,GConvGRU,0.75,rand,2,16.0,linear,150.0,1.1432651281356812
fivenodes,IT-STGCN,GConvGRU,0.7,rand,2,12.0,linear,150.0,1.3021742105484009
fivenodes,IT-STGCN,GConvGRU,0.7,rand,2,16.0,linear,150.0,1.3359735012054443
fivenodes,IT-STGCN,GConvGRU,0.75,rand,2,12.0,linear,150.0,1.1600664854049685
fivenodes,IT-STGCN,GConvGRU,0.75,rand,2,16.0,linear,150.0,1.2171591520309448
fivenodes,STGCN,GConvGRU,0.7,rand,2,12.0,linear,150.0,1.3447401523590088
fivenodes,STGCN,GConvGRU,0.7,rand,2,16.0,linear,150.0,1.2099241018295288
fivenodes,STGCN,GConvGRU,0.75,rand,2,12.0,linear,150.0,1.261915922164917
fivenodes,STGCN,GConvGRU,0.75,rand,2,16.0,linear,150.0,1.118397831916809
fivenodes,IT-STGCN,GConvGRU,0.7,rand,2,12.0,linear,150.0,1.2241432666778564
fivenodes,IT-STGCN,GConvGRU,0.7,rand,2,16.0,linear,150.0,1.067426681518555
fivenodes,IT-STGCN,GConvGRU,0.75,rand,2,12.0,linear,150.0,1.1579943895339966
fivenodes,IT-STGCN,GConvGRU,0.75,rand,2,16.0,linear,150.0,1.4179916381835938
fivenodes,STGCN,GConvGRU,0.7,rand,2,12.0,linear,150.0,1.1470768451690674
fivenodes,STGCN,GConvGRU,0.7,rand,2,16.0,linear,150.0,1.5786938667297363
fivenodes,STGCN,GConvGRU,0.75,rand,2,12.0,linear,150.0,1.216915488243103
fivenodes,STGCN,GConvGRU,0.75,rand,2,16.0,linear,150.0,1.2336620092391968
fivenodes,IT-STGCN,GConvGRU,0.7,rand,2,12.0,linear,150.0,1.19707190990448
fivenodes,IT-STGCN,GConvGRU,0.7,rand,2,16.0,linear,150.0,1.1874620914459229
fivenodes,IT-STGCN,GConvGRU,0.75,rand,2,12.0,linear,150.0,1.153415560722351
fivenodes,IT-STGCN,GConvGRU,0.75,rand,2,16.0,linear,150.0,1.1273828744888306
fivenodes,STGCN,GConvGRU,0.7,rand,2,12.0,linear,150.0,1.153858661651611
fivenodes,STGCN,GConvGRU,0.7,rand,2,16.0,linear,150.0,1.1421113014221191
fivenodes,STGCN,GConvGRU,0.75,rand,2,12.0,linear,150.0,1.198595404624939
fivenodes,STGCN,GConvGRU,0.75,rand,2,16.0,linear,150.0,1.123607158660889
fivenodes,IT-STGCN,GConvGRU,0.7,rand,2,12.0,linear,150.0,1.1490778923034668
fivenodes,IT-STGCN,GConvGRU,0.7,rand,2,16.0,linear,150.0,1.179120659828186
fivenodes,IT-STGCN,GConvGRU,0.75,rand,2,12.0,linear,150.0,1.2314423322677612
fivenodes,IT-STGCN,GConvGRU,0.75,rand,2,16.0,linear,150.0,1.0867947340011597
fivenodes,STGCN,GConvGRU,0.7,rand,2,12.0,linear,150.0,1.0793129205703735
fivenodes,STGCN,GConvGRU,0.7,rand,2,16.0,linear,150.0,1.2214409112930298
fivenodes,STGCN,GConvGRU,0.75,rand,2,12.0,linear,150.0,1.2548704147338867
fivenodes,STGCN,GConvGRU,0.75,rand,2,16.0,linear,150.0,1.2043938636779783
fivenodes,IT-STGCN,GConvGRU,0.7,rand,2,12.0,linear,150.0,1.2801880836486816
fivenodes,IT-STGCN,GConvGRU,0.7,rand,2,16.0,linear,150.0,1.2497535943984983
fivenodes,IT-STGCN,GConvGRU,0.75,rand,2,12.0,linear,150.0,1.210249662399292
fivenodes,IT-STGCN,GConvGRU,0.75,rand,2,16.0,linear,150.0,1.2447881698608398
fivenodes,STGCN,GConvGRU,0.7,rand,2,12.0,linear,150.0,1.3143577575683594
fivenodes,STGCN,GConvGRU,0.7,rand,2,16.0,linear,150.0,1.131314039230347
fivenodes,STGCN,GConvGRU,0.75,rand,2,12.0,linear,150.0,1.492525339126587
fivenodes,STGCN,GConvGRU,0.75,rand,2,16.0,linear,150.0,1.1904977560043335
fivenodes,IT-STGCN,GConvGRU,0.7,rand,2,12.0,linear,150.0,1.2019765377044678
fivenodes,IT-STGCN,GConvGRU,0.7,rand,2,16.0,linear,150.0,1.1524163484573364
fivenodes,IT-STGCN,GConvGRU,0.75,rand,2,12.0,linear,150.0,1.12498140335083
fivenodes,IT-STGCN,GConvGRU,0.75,rand,2,16.0,linear,150.0,1.2108447551727295
fivenodes,STGCN,GConvGRU,0.7,rand,2,12.0,linear,150.0,1.164738655090332
fivenodes,STGCN,GConvGRU,0.7,rand,2,16.0,linear,150.0,1.2959362268447876
fivenodes,STGCN,GConvGRU,0.75,rand,2,12.0,linear,150.0,1.200311303138733
fivenodes,STGCN,GConvGRU,0.75,rand,2,16.0,linear,150.0,1.1445858478546145
fivenodes,IT-STGCN,GConvGRU,0.7,rand,2,12.0,linear,150.0,1.24994158744812
fivenodes,IT-STGCN,GConvGRU,0.7,rand,2,16.0,linear,150.0,1.218904972076416
fivenodes,IT-STGCN,GConvGRU,0.75,rand,2,12.0,linear,150.0,1.2390674352645874
fivenodes,IT-STGCN,GConvGRU,0.75,rand,2,16.0,linear,150.0,1.1865979433059692
fivenodes,STGCN,GConvGRU,0.7,rand,2,12.0,linear,150.0,1.1653810739517212
fivenodes,STGCN,GConvGRU,0.7,rand,2,16.0,linear,150.0,1.2289570569992063
fivenodes,STGCN,GConvGRU,0.75,rand,2,12.0,linear,150.0,1.2019457817077637
fivenodes,STGCN,GConvGRU,0.75,rand,2,16.0,linear,150.0,1.1273998022079468
fivenodes,IT-STGCN,GConvGRU,0.7,rand,2,12.0,linear,150.0,1.208694338798523
fivenodes,IT-STGCN,GConvGRU,0.7,rand,2,16.0,linear,150.0,1.318103909492493
fivenodes,IT-STGCN,GConvGRU,0.75,rand,2,12.0,linear,150.0,1.1347213983535769
fivenodes,IT-STGCN,GConvGRU,0.75,rand,2,16.0,linear,150.0,1.3444877862930298
fivenodes,STGCN,GConvGRU,0.7,rand,2,12.0,linear,150.0,1.2249432802200315
fivenodes,STGCN,GConvGRU,0.7,rand,2,16.0,linear,150.0,1.2331326007843018
fivenodes,STGCN,GConvGRU,0.75,rand,2,12.0,linear,150.0,1.1130051612854004
fivenodes,STGCN,GConvGRU,0.75,rand,2,16.0,linear,150.0,1.1166651248931885
fivenodes,IT-STGCN,GConvGRU,0.7,rand,2,12.0,linear,150.0,1.193455934524536
fivenodes,IT-STGCN,GConvGRU,0.7,rand,2,16.0,linear,150.0,1.2654106616973877
fivenodes,IT-STGCN,GConvGRU,0.75,rand,2,12.0,linear,150.0,1.1397178173065186
fivenodes,IT-STGCN,GConvGRU,0.75,rand,2,16.0,linear,150.0,1.169352650642395
fivenodes,STGCN,GConvGRU,0.7,rand,2,12.0,linear,150.0,1.2190295457839966
fivenodes,STGCN,GConvGRU,0.7,rand,2,16.0,linear,150.0,1.21429181098938
fivenodes,STGCN,GConvGRU,0.75,rand,2,12.0,linear,150.0,1.20619535446167
fivenodes,STGCN,GConvGRU,0.75,rand,2,16.0,linear,150.0,1.199714183807373
fivenodes,IT-STGCN,GConvGRU,0.7,rand,2,12.0,linear,150.0,1.0711761713027954
fivenodes,IT-STGCN,GConvGRU,0.7,rand,2,16.0,linear,150.0,1.2827273607254028
fivenodes,IT-STGCN,GConvGRU,0.75,rand,2,12.0,linear,150.0,1.343180537223816
fivenodes,IT-STGCN,GConvGRU,0.75,rand,2,16.0,linear,150.0,1.144503474235535
fivenodes,STGCN,GConvGRU,0.7,rand,2,12.0,linear,150.0,1.256200909614563
fivenodes,STGCN,GConvGRU,0.7,rand,2,16.0,linear,150.0,1.082033634185791
fivenodes,STGCN,GConvGRU,0.75,rand,2,12.0,linear,150.0,1.1970598697662354
fivenodes,STGCN,GConvGRU,0.75,rand,2,16.0,linear,150.0,1.3179913759231567
fivenodes,IT-STGCN,GConvGRU,0.7,rand,2,12.0,linear,150.0,1.142630100250244
fivenodes,IT-STGCN,GConvGRU,0.7,rand,2,16.0,linear,150.0,1.1354453563690186
fivenodes,IT-STGCN,GConvGRU,0.75,rand,2,12.0,linear,150.0,1.2071874141693115
fivenodes,IT-STGCN,GConvGRU,0.75,rand,2,16.0,linear,150.0,1.2205078601837158
fivenodes,STGCN,GConvGRU,0.7,rand,2,12.0,linear,150.0,1.200581431388855
fivenodes,STGCN,GConvGRU,0.7,rand,2,16.0,linear,150.0,1.2532742023468018
fivenodes,STGCN,GConvGRU,0.75,rand,2,12.0,linear,150.0,1.2056128978729248
fivenodes,STGCN,GConvGRU,0.75,rand,2,16.0,linear,150.0,1.1211127042770386
fivenodes,IT-STGCN,GConvGRU,0.7,rand,2,12.0,linear,150.0,1.1137527227401731
fivenodes,IT-STGCN,GConvGRU,0.7,rand,2,16.0,linear,150.0,1.1489229202270508
fivenodes,IT-STGCN,GConvGRU,0.75,rand,2,12.0,linear,150.0,1.177042007446289
fivenodes,IT-STGCN,GConvGRU,0.75,rand,2,16.0,linear,150.0,1.1974902153015137
fivenodes,STGCN,GConvGRU,0.7,rand,2,12.0,linear,150.0,1.224368929862976
fivenodes,STGCN,GConvGRU,0.7,rand,2,16.0,linear,150.0,1.2016518115997314
fivenodes,STGCN,GConvGRU,0.75,rand,2,12.0,linear,150.0,1.2916854619979858
fivenodes,STGCN,GConvGRU,0.75,rand,2,16.0,linear,150.0,1.1900118589401243
fivenodes,IT-STGCN,GConvGRU,0.7,rand,2,12.0,linear,150.0,1.1942236423492432
fivenodes,IT-STGCN,GConvGRU,0.7,rand,2,16.0,linear,150.0,1.2012875080108645
fivenodes,IT-STGCN,GConvGRU,0.75,rand,2,12.0,linear,150.0,1.305812120437622
fivenodes,IT-STGCN,GConvGRU,0.75,rand,2,16.0,linear,150.0,1.1514136791229248
fivenodes,STGCN,GConvGRU,0.7,rand,2,12.0,linear,150.0,1.0682852268218994
fivenodes,STGCN,GConvGRU,0.7,rand,2,16.0,linear,150.0,1.2743251323699951
fivenodes,STGCN,GConvGRU,0.75,rand,2,12.0,linear,150.0,1.3854761123657229
fivenodes,STGCN,GConvGRU,0.75,rand,2,16.0,linear,150.0,1.1520558595657349
fivenodes,IT-STGCN,GConvGRU,0.7,rand,2,12.0,linear,150.0,1.1200634241104126
fivenodes,IT-STGCN,GConvGRU,0.7,rand,2,16.0,linear,150.0,1.2123115062713623
fivenodes,IT-STGCN,GConvGRU,0.75,rand,2,12.0,linear,150.0,1.2151668071746826
fivenodes,IT-STGCN,GConvGRU,0.75,rand,2,16.0,linear,150.0,1.2281426191329956
fivenodes,STGCN,GConvGRU,0.7,rand,2,12.0,linear,150.0,1.1950782537460327
fivenodes,STGCN,GConvGRU,0.7,rand,2,16.0,linear,150.0,1.257557392120361
fivenodes,STGCN,GConvGRU,0.75,rand,2,12.0,linear,150.0,1.208857774734497
fivenodes,STGCN,GConvGRU,0.75,rand,2,16.0,linear,150.0,1.3056086301803589
fivenodes,IT-STGCN,GConvGRU,0.7,rand,2,12.0,linear,150.0,1.2284389734268188
fivenodes,IT-STGCN,GConvGRU,0.7,rand,2,16.0,linear,150.0,1.1434277296066284
fivenodes,IT-STGCN,GConvGRU,0.75,rand,2,12.0,linear,150.0,1.2151131629943848
fivenodes,IT-STGCN,GConvGRU,0.75,rand,2,16.0,linear,150.0,1.271822810173035
fivenodes,STGCN,GConvGRU,0.7,rand,2,12.0,linear,150.0,1.2477998733520508
fivenodes,STGCN,GConvGRU,0.7,rand,2,16.0,linear,150.0,1.1818416118621826
fivenodes,STGCN,GConvGRU,0.75,rand,2,12.0,linear,150.0,1.4032833576202393
fivenodes,STGCN,GConvGRU,0.75,rand,2,16.0,linear,150.0,1.2551450729370115
fivenodes,IT-STGCN,GConvGRU,0.7,rand,2,12.0,linear,150.0,1.121052861213684
fivenodes,IT-STGCN,GConvGRU,0.7,rand,2,16.0,linear,150.0,1.2282075881958008
fivenodes,IT-STGCN,GConvGRU,0.75,rand,2,12.0,linear,150.0,1.2005668878555298
fivenodes,IT-STGCN,GConvGRU,0.75,rand,2,16.0,linear,150.0,1.2411390542984009
fivenodes,STGCN,GConvGRU,0.7,rand,2,12.0,linear,150.0,1.1289793252944946
fivenodes,STGCN,GConvGRU,0.7,rand,2,16.0,linear,150.0,1.1954089403152466
fivenodes,STGCN,GConvGRU,0.75,rand,2,12.0,linear,150.0,1.309687852859497
fivenodes,STGCN,GConvGRU,0.75,rand,2,16.0,linear,150.0,1.214686393737793
fivenodes,IT-STGCN,GConvGRU,0.7,rand,2,12.0,linear,150.0,1.1617966890335083
fivenodes,IT-STGCN,GConvGRU,0.7,rand,2,16.0,linear,150.0,1.161622405052185
fivenodes,IT-STGCN,GConvGRU,0.75,rand,2,12.0,linear,150.0,1.0994213819503784
fivenodes,IT-STGCN,GConvGRU,0.75,rand,2,16.0,linear,150.0,1.257248044013977
fivenodes,STGCN,GConvGRU,0.7,rand,2,12.0,linear,150.0,1.4191774129867554
fivenodes,STGCN,GConvGRU,0.7,rand,2,16.0,linear,150.0,1.1072226762771606
fivenodes,STGCN,GConvGRU,0.75,rand,2,12.0,linear,150.0,1.1721596717834473
fivenodes,STGCN,GConvGRU,0.75,rand,2,16.0,linear,150.0,1.128436803817749
fivenodes,IT-STGCN,GConvGRU,0.7,rand,2,12.0,linear,150.0,1.0842077732086182
fivenodes,IT-STGCN,GConvGRU,0.7,rand,2,16.0,linear,150.0,1.210530161857605
fivenodes,IT-STGCN,GConvGRU,0.75,rand,2,12.0,linear,150.0,1.1812106370925903
fivenodes,IT-STGCN,GConvGRU,0.75,rand,2,16.0,linear,150.0,1.3004679679870603
fivenodes,STGCN,GConvGRU,0.7,rand,2,12.0,linear,150.0,1.1723928451538086
fivenodes,STGCN,GConvGRU,0.7,rand,2,16.0,linear,150.0,1.1837029457092283
fivenodes,STGCN,GConvGRU,0.75,rand,2,12.0,linear,150.0,1.2931174039840698
fivenodes,STGCN,GConvGRU,0.75,rand,2,16.0,linear,150.0,1.2638343572616575
fivenodes,IT-STGCN,GConvGRU,0.7,rand,2,12.0,linear,150.0,1.2580565214157104
fivenodes,IT-STGCN,GConvGRU,0.7,rand,2,16.0,linear,150.0,1.1648179292678833
fivenodes,IT-STGCN,GConvGRU,0.75,rand,2,12.0,linear,150.0,1.1954437494277954
fivenodes,IT-STGCN,GConvGRU,0.75,rand,2,16.0,linear,150.0,1.1393468379974363
fivenodes,STGCN,GConvGRU,0.7,rand,2,12.0,linear,150.0,1.2690439224243164
fivenodes,STGCN,GConvGRU,0.7,rand,2,16.0,linear,150.0,1.1623989343643188
fivenodes,STGCN,GConvGRU,0.75,rand,2,12.0,linear,150.0,1.0738961696624756
fivenodes,STGCN,GConvGRU,0.75,rand,2,16.0,linear,150.0,1.1436100006103516
fivenodes,IT-STGCN,GConvGRU,0.7,rand,2,12.0,linear,150.0,1.1991856098175049
fivenodes,IT-STGCN,GConvGRU,0.7,rand,2,16.0,linear,150.0,1.057207465171814
fivenodes,IT-STGCN,GConvGRU,0.75,rand,2,12.0,linear,150.0,1.2640670537948608
fivenodes,IT-STGCN,GConvGRU,0.75,rand,2,16.0,linear,150.0,1.2553443908691406
fivenodes,STGCN,GConvGRU,0.7,rand,2,12.0,linear,150.0,1.3110783100128174
fivenodes,STGCN,GConvGRU,0.7,rand,2,16.0,linear,150.0,1.1982208490371704
