dataset,method,mrate,mtype,lags,nof_filters,batch_size,inter_method,epoch,mse,calculation_time
testchickenpox,STGCN,0.7,rand,8,16,32,linear,50,2.1458537578582764,200.71136474609375
testchickenpox,IT-STGCN,0.7,rand,8,16,32,linear,50,1.078492522239685,3340.726742744446
