dataset,method,mrate,mtype,lags,nof_filters,batch_size,inter_method,epoch,mse,calculation_time
0829fivenodes,STGCN,0.7,rand,8,12,64,linear,50,1.515168309211731,36.609238624572754
0829fivenodes,IT-STGCN,0.7,rand,8,12,64,linear,50,1.4852946996688843,135.13717818260193
