dataset,method,mrate,mtype,lags,nof_filters,batch_size,inter_method,epoch,mse,calculation_time
testpedal,STGCN,0.7,rand,8,12,10,linear,50,3.0817949771881104,8.496340990066528
testpedal,IT-STGCN,0.7,rand,8,12,10,linear,50,2.982536792755127,27.241297006607056
