dataset,method,mrate,mtype,lags,nof_filters,batch_size,inter_method,epoch,mse,calculation_time
0829testpedal,STGCN,0.7,rand,8,12,8,linear,50,1.9891843795776367,8.535239696502686
0829testpedal,IT-STGCN,0.7,rand,8,12,8,linear,50,1.307248592376709,22.340453386306763
