dataset,method,mrate,mtype,lags,nof_filters,batch_size,inter_method,epoch,mse,calculation_time
testfivenodes,STGCN,0.7,rand,8,12,64,linear,50,1.544998049736023,55.37790274620056
testfivenodes,IT-STGCN,0.7,rand,8,12,64,linear,50,1.9535433053970337,102.63458895683289
