Date,Open,High,Low,Close,Adj Close,Volume
2018-07-09,2276.919922,2294.610107,2267.250000,2285.800049,2285.800049,352600
2018-07-10,2299.090088,2305.840088,2292.129883,2294.159912,2294.159912,339900
2018-07-11,2277.219971,2287.080078,2262.770020,2280.620117,2280.620117,423000
2018-07-12,2285.929932,2298.560059,2277.729980,2285.060059,2285.060059,364400
2018-07-13,2293.070068,2313.800049,2293.070068,2310.899902,2310.899902,291600
2018-07-16,2312.260010,2317.840088,2299.790039,2301.989990,2301.989990,297100
2018-07-17,2302.949951,2306.070068,2290.239990,2297.919922,2297.919922,379000
2018-07-18,2313.780029,2319.389893,2287.100098,2290.110107,2290.110107,402800
2018-07-19,2298.909912,2300.179932,2278.939941,2282.290039,2282.290039,464500
2018-07-20,2281.360107,2293.340088,2269.550049,2289.189941,2289.189941,353200
2018-07-23,2289.610107,2289.610107,2264.419922,2269.310059,2269.310059,334300
2018-07-24,2273.149902,2284.429932,2263.129883,2280.199951,2280.199951,436100
2018-07-25,2284.379883,2292.610107,2269.669922,2273.030029,2273.030029,309300
2018-07-26,2284.510010,2297.159912,2276.540039,2289.060059,2289.060059,303300
2018-07-27,2292.330078,2295.270020,2284.439941,2294.989990,2294.989990,262100
2018-07-30,2290.179932,2296.909912,2283.290039,2293.510010,2293.510010,206500
2018-07-31,2292.229980,2296.600098,2286.020020,2295.260010,2295.260010,223900
2018-08-01,2301.169922,2312.649902,2301.129883,2307.070068,2307.070068,219000
2018-08-02,2304.139893,2306.719971,2265.459961,2270.199951,2270.199951,352100
2018-08-03,2278.330078,2288.929932,2272.939941,2287.679932,2287.679932,270500
2018-08-06,2288.510010,2300.379883,2283.260010,2286.500000,2286.500000,244500
2018-08-07,2290.850098,2301.270020,2279.550049,2300.159912,2300.159912,230300
2018-08-08,2305.729980,2308.600098,2298.409912,2301.449951,2301.449951,299700
2018-08-09,2303.040039,2303.709961,2291.909912,2303.709961,2303.709961,244900
2018-08-10,2295.209961,2295.620117,2277.889893,2282.790039,2282.790039,286200
2018-08-13,2266.429932,2271.820068,2238.550049,2248.449951,2248.449951,335400
2018-08-14,2249.860107,2262.520020,2247.370117,2258.909912,2258.909912,255200
2018-08-16,2233.050049,2244.080078,2218.090088,2240.800049,2240.800049,312500
2018-08-17,2244.610107,2250.919922,2240.139893,2247.050049,2247.050049,238400
2018-08-20,2257.350098,2264.419922,2245.060059,2247.879883,2247.879883,271600
2018-08-21,2248.040039,2272.860107,2244.590088,2270.060059,2270.060059,294300
2018-08-22,2273.679932,2280.310059,2268.909912,2273.330078,2273.330078,269300
2018-08-23,2282.570068,2282.879883,2268.060059,2282.600098,2282.600098,338400
2018-08-24,2276.159912,2295.219971,2271.350098,2293.209961,2293.209961,347300
2018-08-27,2297.320068,2302.870117,2289.409912,2299.300049,2299.300049,307000
2018-08-28,2312.139893,2314.600098,2299.449951,2303.120117,2303.120117,276900
2018-08-29,2304.659912,2309.879883,2300.209961,2309.030029,2309.030029,268200
2018-08-30,2313.110107,2320.850098,2305.459961,2307.350098,2307.350098,286900
2018-08-31,2298.129883,2322.879883,2295.719971,2322.879883,2322.879883,255900
2018-09-03,2317.929932,2318.719971,2302.169922,2307.030029,2307.030029,230500
2018-09-04,2308.959961,2317.739990,2302.169922,2315.719971,2315.719971,277000
2018-09-05,2310.899902,2315.429932,2288.010010,2291.770020,2291.770020,358200
2018-09-06,2288.800049,2298.469971,2284.500000,2287.610107,2287.610107,387500
2018-09-07,2278.080078,2286.820068,2264.899902,2281.580078,2281.580078,357600
2018-09-10,2277.350098,2289.379883,2276.600098,2288.659912,2288.659912,312600
2018-09-11,2286.909912,2295.760010,2275.129883,2283.199951,2283.199951,368200
2018-09-12,2286.280029,2289.659912,2271.000000,2282.919922,2282.919922,336800
2018-09-13,2285.280029,2291.510010,2281.629883,2286.229980,2286.229980,301300
2018-09-14,2304.699951,2318.649902,2304.149902,2318.250000,2318.250000,292200
2018-09-17,2314.550049,2314.550049,2295.260010,2303.010010,2303.010010,343200
2018-09-18,2287.729980,2310.969971,2287.419922,2308.979980,2308.979980,309200
2018-09-19,2319.219971,2319.219971,2301.790039,2308.459961,2308.459961,350900
2018-09-20,2314.409912,2334.040039,2311.560059,2323.449951,2323.449951,289100
2018-09-21,2332.040039,2339.169922,2325.120117,2339.169922,2339.169922,321700
2018-09-27,2331.699951,2355.429932,2331.699951,2355.429932,2355.429932,279200
2018-09-28,2356.129883,2356.620117,2337.469971,2343.070068,2343.070068,317900
2018-10-01,2349.639893,2352.110107,2333.320068,2338.879883,2338.879883,278300
2018-10-02,2338.280029,2341.550049,2308.899902,2309.570068,2309.570068,287900
2018-10-04,2311.060059,2311.060059,2270.219971,2274.489990,2274.489990,309500
2018-10-05,2269.939941,2278.120117,2250.989990,2267.520020,2267.520020,282100
